company,added_date,status,description,website,headcount,ownership_type,founded,total_funding_m,last_funding_amount_m,last_funding_type,last_funding_lead_investor,company_address,growth_metrics,source_page,source_row,raw_row_text
Schittflix,"Jul 28, 2025 12.57 PM",,"Schuttflix is connects construction companies, material_. digital logistics platform that schuettflix de Monchenglad _ sc huettflix",schuettflix.de,51-200,Venture Capital,2018,,116.8,Series,DEVK Versicherungen,"Aug 22, 2023",,,,"Schittflix | Jul 28, 2025 12.57 PM | Schuttflix is | connects construction companies, material_. | digital logistics platform that | schuettflix de | 51-200 | nla | Germany | North Rhine | Westphalia | Monchenglad _ | sc huettflix | Load contacts | ntacts | Venture Capital | 2018 | 116.8 | 51.1 | Aug 22, 2023 | Series | DEVK Versicherungen | nla | Goldbeck | Kin | nja | nla | nja | nja | nla | nla | nla | nfa | nfa | nla | nfa | nfa | nla | nla | nla | nla | nla | nla | nla"
Scurri,"Jul 28, 2025 12.57 PM",save,Scurri is a delivery management software Scurri is provider that offers solutions Iike Scurri__. provider that offers solutions like Scurri _. delivery management software ~scurri com scurri com Wexford scurri ~scurri,hellodone.ai,51-200,Venture Capital,2010,,18.5,Series,Act Venture Capital,"Common Quay Street; Wexford, IE",~1% | ~4% | -4% | 4% | ~1% | -1% | 25% | 25% | 42% | 76% | 76 % | 33%,,,"save | (hide | Chide | Scurri | Jul 28, 2025 12.57 PM | Scurri is a delivery management software | Scurri is | provider that offers solutions Iike Scurri__. | provider that offers solutions like Scurri _. | delivery management software | ~scurri com | scurri com | 51-200 | United States | (USA) | Pennsylvania | Wexford | scurri | ~scurri | Load contacts | ntacts | Venture Capital | 2010 | 18.5 | 10.9 | Jun 14,2021 | Jun 14, 2021 | Series | Act Venture Capital | Corporate | Episode | Venture: | HelloDone.ai | nla | nja | nla | ~1% | ~4% | -4% | 4% | ~1% | -1% | 25% | 25% | 42% | 76% | 76 % | 33% | Common Quay Street; Wexford, IE | nla | nja | nfa | nja | nfa | nja | nla | nja | ~nla | nja"
SELLinALL,"Jul 28, 2025 12.57 PM",save | hide,Graas specializing in eCommerce analytics: data solutions company offer _. graas ai ~seiIl-in-all,graas.ai,201-500,Private Equity,2015,,40,Series,ajcapital com,"ebar Rd; Az@payalebar; Singapore, 409015,",-14% | -28% | 336% | ~82% | -73% | ~59% | 68%,,,"save | hide | SELLinALL | Jul 28,2025 12.57 PM | Graas | specializing in eCommerce analytics: | data solutions company | offer _. | graas ai | 201-500 | Singapore | nla | nla | ~seiIl-in-all | Load contacts | ntacts | Private Equity | 2015 | 40 | Aug 16, 2022 | Series | ajcapital com | Corporate | yujventures com | SELLinALL | 25.2M - 25.2M | nla | nla | -14% | -28% | 336% | ~82% | -73% | ~59% | 68% | 09-07, 140 Paya | ebar Rd; Az@payalebar; Singapore, 409015, | nla | nla | nla | nla | ~nla"
Sendcloud,"Jul 28, 2025 12.57 PM",hide,that offers solutions shipping software provider fol e-commerce sendcloud com seindcloud,sendcloud.com,201-500,Private Equity,2012,,200.9,Series,HPE Growth,"Stadhuisplein 10; Eindhoven, North Brabant 5611 EM, NL",10% | 9% | 7% | 12% | 50% | 142% | -8 %,,,"hide | Sendcloud | Jul 28, 2025 12.57 PM | Sendcloud | that offers solutions | shipping software provider | fol | e-commerce | sendcloud com | 201-500 | 466 | Netherlands | North Brabant | Eindhoven | seindcloud | Load contacts | ntacts | Private Equity | 2012 | 200.9 | 177 | Sep 14, 2021 | Series | HPE Growth | Corporate | SoftBank Investme | Lox | tracey SUI | nja | 40 | nja | 10% | 9% | 7% | 12% | nla | 50% | 142% | -8 % | Stadhuisplein 10; Eindhoven, North Brabant 5611 EM, NL | nla | nla | nla | nla | nla"
SENRTJRRA],"Jul 28, 2025 12.57 PM",hide,"SnENiTJiA] ~company that spech iallzes ' EDA software providing e8%8a""af%e8_",xtimes-da.com,51-200,Venture Capital,2020,,15.8,,,"'tT6e; [95, CN",3% | 3% | -10%,,,"hide | SENRTJRRA] | Jul 28, 2025 12.57 PM | SnENiTJiA] | ~company that spech | iallzes ' | EDA software | providing | xtimes-da.com | 51-200 | China | Jiangsu | Nanjing | e8%8a""af%e8_ | Load contacts | ntacts | Venture Capital | 2020 | 15.8 | May 27, 2024 | Series B | nrl-capital com | nla | Capital Today | nla | nla | nla | nla | 3% | nla | 3% | nla | nla | nla | -10% | 'tT6e; [95, CN | nla | nfa | nla | nla"
Sera Systems,"Jul 28, 2025 12.57 PM",save | hide,Sera Systems Inc is a software company that provides field service management solution_ (USA) ~serviceshiftsoftware,sera.tech,11-50,Venture Capital,2018,,11.7,,,"923 Minters Chapel Rd; Suite 200; Grapevine, Texas 76051, US",421% | -28% | -10% | 2% | 135% | -26%,,,"save | hide | Sera Systems | Jul 28,2025 12.57 PM | Sera Systems Inc is a software company that | provides field service management solution_ | sera.tech | 11-50 | (USA) | United States | nla | nla | ~serviceshiftsoftware | Load contacts | ntacts | Venture Capital | 2018 | 11.7 | nla | May 24, 2023 | Series B | nla | nla | Southland Industri | nla | nla | nla | nla | 421% | -28% | -10% | 2% | 135% | nja | nla | -26% | 923 Minters Chapel Rd; Suite 200; Grapevine, Texas 76051, US | nfa | nja | nla | nfa | nja"
Shipper,"Jul 28, 2025 12.57 PM",,Shipper is a logistics company that provides integrated ~commerce solutions shipperid shipper-indonesia,mansyur.no,"1,001-5,000",Venture Capital,2017,,131.9,Series,bossa invest,"JI KH: Mas Mansyur No.15, RT.IOIRW.II, Kuningan, Karet",-2% | -8% | -14% | -17% | -13% | 62% | 454% | 39%,,,"Shipper | Jul 28, 2025 12.57 PM | Shipper is a logistics company that provides | integrated | ~commerce solutions | shipperid | 1,001-5,000 | 1,004 | Indonesia | Jakarta | South Jakarta | shipper-indonesia | Load contacts | ntacts | Venture Capital | 2017 | 131.9 | 43.7 | Apr | 2022 | Series | bossa invest | Corporate | Gold House | porterid | Pakd | nja | 141 | nja | -2% | -8% | -14% | -17% | -13% | 62% | 454% | 39% | Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat; Daerah_. | JI KH: Mas Mansyur No.15, RT.IOIRW.II, Kuningan, Karet | nla | nla | nla | nla | nla"
Shippit,"Jul 28, 2025 12.57 PM",save | hide,Shippit i provides multi-carrier shipping software and_ logistics technology company that shippit com shippit,premonition.io,51-200,Venture Capital,2014,,79.4,Series,Perennial Partners,"4-6 Bligh Street; Level 2; Sydney; New South Wales 2000, AU",4% | 3% | ~2%/ | 2% | -15% | ~7% | 21% | 117% | -6 %,,,"save | hide | Shippit | Jul 28,2025 12.57 PM | Shippit i | provides multi-carrier shipping software and_ | logistics technology company that | shippit com | 51-200 | 159 | Australia | New South Wales | Sydney | shippit | Load contacts | ntacts | Venture Capital | 2014 | 79.4 | 46.2 | May | 2022 | Series | Perennial Partners | Corporate | rtlgroupinvestmen | Premonition.io | 12.IM - 13.9M | nla | 4% | 3% | ~2%/ | 2% | -15% | ~7% | 21% | 117% | -6 % | 4-6 Bligh Street; Level 2; Sydney; New South Wales 2000, AU | nla | nla | nla | nla | ~nla"
ShippyPro,"Jul 28, 2025 12.57 PM",save | hide,ShippyPro is a shipping software provider that offers solutions for commerce businesses . shippypro com shippypro,shippypro.com,51-200,Venture Capital,2016,,20,Series,Five Elms Capital,"Via delle Cascine, 35; Florence, Tuscany 50144, IT",-4% | -8% | -4% | 4% | -14% | I1% | 64% | 245% | 6%,,,"save | hide | ShippyPro | Jul 28, 2025 12.57 PM | ShippyPro is a shipping software provider that | offers solutions for | commerce | businesses . | shippypro com | 51-200 | Italy | Tuscany | Florence | shippypro | Load contacts | ntacts | Venture Capital | 2016 | 20 | Nov | 2023 | Series | Five Elms Capital | nla | Five Elms Capital | nla | nla | nla | nla | -4% | -8% | -4% | 4% | -14% | I1% | 64% | 245% | 6% | Via delle Cascine, 35; Florence, Tuscany 50144, IT | nfa | nfa | nfa | nfa | nfa"
Shipwell,"Jul 28, 2025 12.57 PM",save | hide,Shipwell is a specializing in transportation management _ Shipwell is a logistics technology provider specializing in transportation management_. logistics technology provider shipwell com Austin lipwell hipwell,shipwell.com,51-200,Venture Capital,2016,,35,,,"515 Congress Ave; Suite 2850; Austin, Texas 78701, US",4% | 6% | 6 % | 38% | -40% | -33% | -10% | ~48% | -48%,,,"save | hide | Shipwell | Jul 28,2025 12.57 PM | Jul 28, 2025 12.57 PM | Shipwell is a | specializing in transportation management _ | Shipwell is a logistics technology provider | specializing in transportation management_. | logistics technology provider | shipwell com | 51-200 | United States | (USA) | Texas | Austin | lipwell | hipwell | Load contacts | ntacts | Venture Capital | 2016 | 35 | Oct 23, 2019 | Series B | Aspect Ventures | nja | nia | Fifth Wall | Gec | nla | nia | nla | nia | nja | nia | nja | nia | nia | nla | 4% | 6% | 6 % | 38% | -40% | -33% | -10% | ~48% | -48% | 515 Congress Ave; Suite 2650; Austin, Texas 78701,US | 515 Congress Ave; Suite 2850; Austin, Texas 78701, US | nfa | nla | nla | nfa | nla | nla | nfal"
shipzero,"Jul 28, 2025 12.57 PM",,specializing in emissions management _ Shipzero is a technology company aupanion,shipzero.com,51-200,Venture Capital,2018,,8.7,Series,ETF Partners,"Hamburg, 20457, DE",-3% | 8 % | 39% | 113% | ~73%,,,"shipzero | Jul 28, 2025 12.57 PM | specializing in emissions management _ | Shipzero is a technology company | shipzero.com | 51-200 | Germany | Hamburg | Hamburg | aupanion | Load contacts | ntacts | Venture Capital | 2018 | 8.7 | May 26, 2024 | Series | ETF Partners | The Environ | nla | Rainmaking | nja | nla | nja | nla | -3% | 8 % | 39% | 113% | nla | nla | nla | ~73% | Sankt Annenufer | Hamburg, 20457, DE | nla | nla | nla | nla | nla"
Shop Circle,"Jul 28, 2025 12.57 PM",save | hide,Shop Circle is e-commerce software solutions: ecommerce software solutions SaaS company specializing in It offers = offers a . London stiop-circle shiop-circle,shopcircle.co,201-500,Private Equity,2021,,245,Series,645 Ventures,"London, GB","4% | 6 % | 6% | 32% | 310% | 505% | 12,000% | 4%",,,"save | ave | hide | Shop Circle | Jul 28, 2025 12.57 PM | Jul 28,2025 12.57 PM | Shop Circle is | Shop Circle | e-commerce software solutions: | ecommerce | software solutions | SaaS company specializing in | It offers = | offers a . | shopcircle.co | 201-500 | 242 | United Kingdom | (UK) | England | London | stiop-circle | shiop-circle | Load contacts | ntacts | Private Equity | 2021 | 245 | 60 | Feb 24, 2025 | Series | 645 Ventures | Corporate | Endeavor | SyS"" | Aiden | Guided | Aiden | Guided se | nla | 26 | nla | 4% | 6 % | 6% | 32% | 310% | 505% | 12,000% | nla | 4% | London, GB | nla | nla | nla | nla | ~nla | nla"
SideChef,"Jul 28, 2025 12.57 PM",save | hide,"SideChef is comprehensive range of recipes, meal__ cooking platform that offers a sidechef com (USA) si Jechef",sidechef.com,51-200,Venture Capital,2013,,,,,"3413 Mira Vista Circle; San Jose, CA 95132, US",11% | 8% | 8 % | -3% | -19% | -24% | -9% | 0%,,,"save | hide | SideChef | Jul 28, 2025 12.57 PM | SideChef is | comprehensive range of recipes, meal__ | cooking platform that offers a | sidechef com | 51-200 | (USA) | United States | California | San Jose | si Jechef | Load contacts | ntacts | Venture Capital | 2013 | Feb 28,2023 | Series B | electroluxappliances com | nla | Empower Investmi | nla | nla | nla | nla | 11% | 8% | 8 % | nja | nia | -3% | -19% | -24% | -9% | 0% | 3413 Mira Vista Circle; San Jose, CA 95132, US | nla | nja | nfa | nla | nfa"
Simbe,"Jul 28, 2025 12.57 PM",,specializing in retail solutions. They offer _ Simbe Robotics technology company simberobotics com South San Francisco si nbe-robotics-inc,simberobotics.com,51-200,Private Equity,2014,,104,Series,eclipse capital,"385 Oyster Point Blvd; STE #2; South San Francisco, California",21% | 51% | 89% | 167% | 145% | 152% | 193% | 5%,,,"Simbe | Jul 28, 2025 12.57 PM | specializing in retail solutions. They offer _ | Simbe Robotics | technology company | simberobotics com | 51-200 | United States | (USA) | California | South San | Francisco | si nbe-robotics-inc | Load contacts | ntacts | Private Equity | 2014 | 104 | Oct 23, 2024 | Series | eclipse capital | nla | Pillar VC | Valo | nja | nla | nla | nja | 21% | 51% | 89% | 167% | 145% | 152% | 193% | 5% | 385 Oyster Point Blvd; STE #2; South San Francisco, California | 94080,US | nfa | nla | nfa | nla | nla"
SimpliRoute,"Jul 28, 2025 12.57 PM",save,that specializes in route optimization and fle. logistics software provider Chile Santiago Providencia si nplit-solutions,simpliroute.com,51-200,Venture Capital,2014,,11.2,Series,nla,"Metropolitana de Santiago 7510021, CL",3% | -4% | 4% | -13% | 8% | -27% | 30% | 127%,,,"save | (hide | SimpliRoute | Jul 28, 2025 12.57 PM | SimpliRoute | that specializes in route optimization and fle. | logistics software provider | simpliroute.com | 51-200 | 123 | Chile | Santiago | Providencia | si nplit-solutions | Load contacts | ntacts | Venture Capital | 2014 | 11.2 | Dec | 2021 | Series | nla | nla | Plug and Play Tecl | nla | nla | nla | nla | 3% | -4% | 4% | -13% | 8% | -27% | 30% | 127% | nla | Avenida Holanda 100; Oficina 606; Providencia, Region | Metropolitana de Santiago 7510021, CL | nla | nfa | nla | nla | ~nla"
Sindabad com,"Jul 28, 2025 12.57 PM",save | hide,Sindabadcom Ltd. that offers Sindabad com Ltd. is a wide range of products includin_. wide range an e-commerce commerce platform products includin_. platform sindabad com Bangladesh Dhaka Dhaka ndabad-com Idabad-com,sindabad.com,"501-1,000",Venture Capital,2016,,8.3,Series,Aavishkaar Capital,"Khilkhet; Dhaka 1229; Dhaka,",41% | ~1% | -1% | 41% | -1% | 1% | -0% | -12% | 27% | 60% | -4% | 4%,,,"save | hide | Sindabad com | Jul 28,2025 12.57 PM | Jul 28, 2025 12.57 PM | Sindabadcom Ltd. | that offers | Sindabad com Ltd. is a | wide range of products includin_. | wide range | an e-commerce | commerce platform | products includin_. | platform | sindabad com | sindabad.com | 501-1,000 | 143 | Bangladesh | Dhaka | Dhaka | ndabad-com | Idabad-com | Load contacts | ntacts | Venture Capital | 2016 | 8.3 | May 27, 2019 | Series | Aavishkaar Capital | nla | Aavishkaar Capita | nja | nla | nla | nla | nja | nja | nla | nla | nja | 41% | ~1% | -1% | 41% | -1% | 1% | -0% | -12% | 27% | 60% | -4% | 4% | House | BD | Road 9/B, Nikunja | Khilkhet; Dhaka 1229; Dhaka, | nla | nla | nla | nla"
Skydropx LATAM,"Jul 28, 2025 12.57 PM",,Skydropx is specializes automating shipping processe: logistics software provider that skydropx com s: kydropx,skydropx.com,201-500,Venture Capital,2014,,2022,Series,Angel Hub Ventures,"Padre Raymundo Jardo 925; Monterrey, Nuevo Leon 64000,MX",2% | 3% | 9% | 20% | 0% | 30%,,,"Skydropx LATAM | Jul 28, 2025 12.57 PM | Skydropx is | specializes | automating shipping processe: | logistics software provider that | skydropx com | 201-500 | 444 | Mexico | Nuevo Leon | Monterrey | s: kydropx | Load contacts | ntacts | Venture Capital | 2014 | nla | Aug | 2022 | Series | Angel Hub Ventures | Corporate | SIERRA Ventures | Frenet | 5.2M - 5.2M | nja | 2% | 3% | 9% | 20% | 0% | nla | nla | 30% | Padre Raymundo Jardo 925; Monterrey, Nuevo Leon 64000,MX | nla | nla | nla | nla | nla"
Smacc,"Jul 28, 2025 12.57 PM",save | hide,SMACC is a software company that specializes in providing enterprise resource__ smacc com Saudi Arabia Riyadh Riyadh srnaccsoftware,smacc.com,51-200,Venture Capital,1980,,,Series,nja,"Eastern Ring Road, Exit 14, Al Riyan Area Riyadh, Saudi Arabia;","23% | 94% | 117% | 105% | 516 % | 1,750% | -18%",,,"save | hide | Smacc | Jul 28,2025 12.57 PM | SMACC is a software company that | specializes in providing enterprise resource__ | smacc com | 51-200 | Saudi Arabia | Riyadh | Riyadh | srnaccsoftware | Load contacts | ntacts | Venture Capital | 1980 | nia | Dec 31, 2016 | Series | nja | nja | nja | nia | nja | nja | nja | nla | 23% | 94% | 117% | 105% | 516 % | 1,750% | -18% | Riyadh; Riyadh 11564, SA | Eastern Ring Road, Exit 14, Al Riyan Area Riyadh, Saudi Arabia; | nla | nla | nla | nla | nfa"
Smart Fabric,"Jul 28, 2025 12.57 PM",save,manufacturing and software solutions__ ##EMU)RTTJIRA :] is a textile sfabric com 501- 000 China Guangdong Shenzhen ~srart-fabric,hsgcap.com,,Venture Capital,2014,,560,,,Nanshan district Science and Technology Park; Shenzhen; CN,6% | ~5% | 5% | 6% | 6 % | 14% | 33% | 5% | 433%,,,"save | Smart Fabric | Jul 28, 2025 12.57 PM | manufacturing and software solutions__ | ##EMU)RTTJIRA :] is a textile | sfabric com | 501- | 000 | China | Guangdong | Shenzhen | ~srart-fabric | Load contacts | ntacts | Venture Capital | 2014 | 560 | 460 | Jan 13, 2025 | Series C | nla | nla | hsgcap.com | nla | nla | nla | nla | 6% | ~5% | 5% | 6% | 6 % | 14% | 33% | 5% | 433% | nia | Nanshan district Science and Technology Park; Shenzhen; CN | nia | nia | nia | nia | nla"
Smartwyre,"Jul 28, 2025 12.57 PM",,Smartwyre is an agricultural technology company that provides software solutions smartwyre com Denver srnartwyre,smartwyre.com,51-200,Venture Capital,2018,,13.5,Series,Anterra Capital,"2301 Blake St; Denver; Colorado 80205, US",-4% | -5% | 3% | 27% | 97% | 232% | 361% | 7%,,,"Smartwyre | Jul 28, 2025 12.57 PM | Smartwyre is an agricultural technology | company that provides software solutions | smartwyre com | 51-200 | United States | (USA) | Colorado | Denver | srnartwyre | Load contacts | ntacts | Venture Capital | 2018 | 13.5 | 10.5 | Sep | 2021 | Series | Anterra Capital | nla | Anterra Capital | nla | nla | nja | nja | -4% | -5% | 3% | 27% | 97% | 232% | 361% | 7% | 2301 Blake St; Denver; Colorado 80205, US | nla | nla | nla | nla | nla"
SourceDay,"Jul 28, 2025 12.57 PM",hide,company that offers software solutions for__ supply chain management sourceday com Austin sciurceday-com,sourceday.com,51-200,Venture Capital,2013,,57.6,Series,Deep Tech Fund (an Alumn,"9737 Great Hills Trail; Suite 10O; Austin; Texas 78759,US",-12% | -17% | -20% | -35% | -33% | 2% | 4% | -23%,,,"Cave | hide | SourceDay | Jul 28, 2025 12.57 PM | SourceDay | company that offers software solutions for__ | supply chain management | sourceday com | 51-200 | United States | (USA) | Texas | Austin | sciurceday-com | Load contacts | ntacts | Venture Capital | Venture | Capital | 2013 | 57.6 | 31.5 | Feb 14, 2022 | Series | Deep Tech Fund (an Alumn | nla | ATX Venture Partn | nla | nla | nla | nla | -12% | -17% | -20% | -35% | -33% | 2% | 4% | -23% | 9737 Great Hills Trail; Suite 10O; Austin; Texas 78759,US | nla | nla | nla | nla | nla"
SpaceFill,"Jul 28, 2025 12.57 PM",save,Spacefill is a logistics technology provider that offers 3PL management platform__ spacefill fr nia,spacefill.fr,51-200,Private Equity,2018,,23.2,Series,Bonsai Partners,"Mar 15, 2022",~4%,,,"save | SpaceFill | Jul 28, 2025 12.57 PM | Spacefill is a logistics technology provider | that offers | 3PL management platform__ | spacefill fr | 51-200 | nia | France | ile-De-France | Paris | Load contacts | ntacts | Private Equity | 2018 | 23.2 | Mar 15, 2022 | Series | Bonsai Partners | nla | NGP Capital | nla | nla | nla | nla | nla | nla | nfa | nla | nla | nla | nla | nla | ~4% | nla | nla | nla | nla | nla | nla"
Spotio,"Jul 28, 2025 12.57 PM",save | gave | hide,"28, 2025 12.57 PM SPOTIO offers solutions SPOTIO is a field sales software provider that field sales software provider that ~enhance sales productivit__. enhance sales productivit__. Addison spiotio Load",spotio.com,51-200,Venture Capital,2014,,4.5,Series,Ballast Point Ventures,"5057 Keller Springs Rd; Suite 325; Addison, Texas 75001, US",4% | 4% | 13% | 8 % | 24% | 67% | 86 % | -21%,,,"save | Gave | hide | Spotio | Jul 28, 2025 12.57 PM | 28, 2025 12.57 PM | SPOTIO | offers solutions | SPOTIO is a field sales software provider that | field sales software provider that | ~enhance sales productivit__. | enhance sales productivit__. | spotio.com | 51-200 | United States | (USA) | Texas | Addison | spiotio | Load | Load contacts | contacts | ntacts | Venture Capital | 2014 | 4.5 | Jan | 2020 | Series | Ballast Point Ventures | nfa | nla | Castle Digital Parti | nja | nla | nla | nfa | nja | nja | nfa | 4% | 4% | 13% | 8 % | 24% | 67% | 86 % | -21% | 5057 Keller Springs Rd; Suite 325; Addison, Texas 75001, US | nla | nfa | nla | nfa | nla | nfa | nla | nfa | ~nfa | nla"
Sprig,"Jul 28, 2025 12.57 PM",save | hide,in product experience management software company that - specializes ofters _. sprig com San Francisco uxierleap,sprig.com,51-200,Venture Capital,2019,,2022,Series,Accel,"71 Stevenson St; San Francisco, California 94105, US",2% | 208% | 232% | 276% | 146% | 333%,,,"save | hide | Sprig | Jul 28, 2025 12.57 PM | Sprig | in product experience management | software company that - | specializes | ofters _. | sprig com | 51-200 | 256 | United States | (USA) | California | San Francisco | uxierleap | Load contacts | ntacts | Venture Capital | 2019 | Aug | 2022 | Series | Accel | nla | Accel | First Rc | nla | nla | nla | nla | 2% | 208% | 232% | 276% | 146% | 333% | nla | nla | 71 Stevenson St; San Francisco, California 94105, US | nla | nla | nla | nla | nla"
Stable,"Jul 28, 2025 12.57 PM",save | hide,Stable is specializes specializes in supply chain solutions for_. risk management company that supply chain solutions for_. stableprice com Bermuda Pembroke Hamilton stableprice,stableprice.com,51-200,Venture Capital,2017,,112.5,Series,Acrew Capital,"26 Victoria Street; Hamilton, Bermuda HM 12, BM",38% | 38 % | -6 % | 6 %,,,"save | hide | Stable | Jul 28, 2025 12.57 PM | Stable is | specializes | Stable | specializes in supply chain solutions for_. | risk management company that | supply chain solutions | for_. | stableprice com | 51-200 | Bermuda | Pembroke | Hamilton | stableprice | Load contacts | ntacts | Venture Capital | 2017 | 112.5 | May 25, 2022 | Series | Acrew Capital | nla | Syngenta | syn | nja | nla | nla | nla | nja | nja | nla | nla | nla | nla | nfa | 38% | 38 % | nla | nfa | nla | nfa | -6 % | 6 % | 26 Victoria Street; Hamilton, Bermuda HM 12, BM | nla | nfa | nla | nfa | nla | nfa | nla | ~nla | nla"
Staffinc Group,"Jul 28, 2025 12.57 PM",,Staffinc specializes in labor supply ad HR services_ an outsourcing company that staffinc co staffinc-group,staffinc.co,51-200,Venture Capital,2018,,3.9,Series,Access Ventures,"Tower; JI H.R Rasuna Said No.13, RT.ZIRW.2, Kuningan,",12% | 28% | 92% | 166 %,,,"ave | Khide | Staffinc Group | Jul 28, 2025 12.57 PM | Staffinc | specializes in labor supply ad HR services_ | an outsourcing company that | staffinc co | 51-200 | 336 | Indonesia | Jakarta | Jakarta | staffinc-group | Load contacts | ntacts | Venture Capital | 2018 | 3.9 | 3.9 | Aug 31, 2023 | Series | Access Ventures | nja | Altara Ventures | nja | nla | nja | 24 | nla | 12% | 28% | 92% | 166 % | nla | nla | nja | nla | Kuningan Timur; Kecamatan Setiabudi; Jakarta, DKI Jakarta. | Cyber = | Tower; JI H.R Rasuna Said No.13, RT.ZIRW.2, Kuningan, | nla | nla | nla | nla | nla"
Stonly,"Jul 28, 2025 12.57 PM",save | hide,"Stonly is a software company that specializes in customer service solutions, offering_. stonly",stonly.com,51-200,Venture Capital,2018,,25.5,,,"Paris, 92300, FR",3% | 4% | ~5% | 5% | -19% | 5% | 103% | 293% | -33%,,,"save | hide | Stonly | Jul 28,2025 12.57 PM | Stonly is a software company that specializes | in customer service solutions, offering_. | stonly.com | 51-200 | France | ile-De-France | Paris | stonly | Load contacts | ntacts | Venture Capital | 2018 | 25.5 | Jan 26,2022 | Series A | Accel | nfa | Accel | Northzo | nla | nla | nla | nla | 3% | 4% | ~5% | 5% | -19% | 5% | 103% | 293% | -33% | Paris, 92300, FR | nla | nja | nla | nla | nja"
Survicate,"Jul 28, 2025 12.57 PM",,Survicate is offers tools for collecting and analyzing__. survey software provider that ~suirvicate,survicate.com,51-200,Private Equity,2013,,3.5,Series,Airbridge Equity Partners,"ulica Przyrynek 14; Warsaw; MA 00-219, PL",5% | 5% | 7% | 3% | 33% | 115% | 100% | ~4%,,,"Khide | Survicate | Jul 28, 2025 12.57 PM | Survicate is | offers tools for collecting and analyzing__. | survey software provider that | survicate.com | 51-200 | United States | (USA) | nla | nla | ~suirvicate | Load contacts | ntacts | Private Equity | 2013 | 3.5 | 2.4 | Jul 19, 2021 | Series | Airbridge Equity Partners | nla | SpeedUp Venture | nla | nla | nla | nla | 5% | 5% | 7% | 3% | 33% | 115% | 100% | ~4% | ulica Przyrynek 14; Warsaw; MA 00-219, PL | nla | nla | nla | nla | nla"
Syrup Tech,"Jul 28, 2025 12.57 PM",save | hide,"specializing in Al-driven inventory_ technology company ""rup-tech",syrup.tech,11-50,Venture Capital,2020,,25.1,Series,1984 Ventures,"52 Mercer Street; New York; NY 10013, US",-2% | ~9% | -9% | -9% | 71% | 220% | 700% | -53%,,,"Save | hide | Syrup Tech | Jul 28, 2025 12.57 PM | Syrup Tech | specializing in Al-driven inventory_ | technology company | syrup.tech | 11-50 | United States | (USA) | New York | New York | ""rup-tech | Load contacts | ntacts | Venture Capital | 2020 | 25.1 | 17.8 | Nov 30, 2023 | Series | 1984 Ventures | nla | Harvard Innovatiol | nla | nfa | nfa | nla | -2% | ~9% | -9% | -9% | 71% | 220% | 700% | nla | -53% | 52 Mercer Street; New York; NY 10013, US | nfa | nfa | nfa"
Tailor,"Jul 28, 2025 12.57 PM",save,that specializes Tailor is . software development company customizable ERP _ tailor tech San Francisco tailortech,tailor.tech,11-50,Private Equity,2021,,26.3,Series,Anri,"San Francisco, CA, US","7% | 42% | 166 % | 540% | 1,466 % | -19%",,,"save | Tailor | Jul 28, 2025 12.57 PM | that specializes | Tailor is . | software development company | customizable ERP _ | tailor tech | 11-50 | 141 | United States | (USA) | California | San Francisco | tailortech | Load contacts | ntacts | Private Equity | 2021 | 26.3 | May 19, 2025 | Series | Anri | nla | Anri | Combil | nla | nla | nla | nla | 7% | 42% | 166 % | 540% | 1,466 % | nla | -19% | San Francisco, CA, US | nla | nla | nla | nla | nla"
Tajir,"Jul 28, 2025 12.57 PM",save,provides an online platform for independent_ provides an online platform for independent_. Tajir is a retail distribution company that tajirapp tajir app Pakistan Punjab Lahore tajir-app,aavcf.com,11-50,Venture Capital,2018,,18.9,Series,aavcf.com,"Gulberg; Lahore, Punjab 54000,PK","1% | ~6% | ~6 % | 6% | 6 % | ~2% | 2% | 47% | 346% | 1,506 % | 1,506%",,,"save | Tajir | Jul 28, 2025 12.57 PM | provides an online platform for independent_ | provides an online platform for independent_. | Tajir is a retail distribution company that | tajirapp | tajir app | 11-50 | 241 | Pakistan | Punjab | Lahore | tajir-app | Load contacts | ntacts | Venture Capital | 2018 | 18.9 | Jun | 2021 | Series | aavcf.com | nla | Flexport | Klein | nla | nla | nla | 23 | nla | nla | 1% | ~6% | ~6 % | 6% | 6 % | ~2% | 2% | 47% | 346% | 1,506 % | 1,506% | nla | Gulberg; Lahore, Punjab 54000,PK | nla | nfa | nla | nfa | nla | nla | ~nla | nla"
